Provider,Win.1,Linux1,Mac1,Android1,iOS1,Encrypted storage,Zero knowledge2,Secure Key Management3[1],Limited MB plan4,Unlimited MB plan4,$/MB plan4,Unlimited BW 16,Provider,Cloud hosted Net Drive5,Sync7,Autodetect changes12,Public file hosting8,physical media restore9,Server location(s)10,Free online storage (non-trial)13,Maximum per-file size,External hard drive support14,Hybrid Option15,Green Hosting,OpenSaaS
Acronis,Yes,Enterprise only  with limited data,Yes,Yes,Yes,Yes,Optional[2],Yes,Optional (Enterprise),Yes (Only win/mac),No,Yes,Acronis,No,Yes,[empty],[empty],[empty],United States  Europe,No,No limit,Yes,[empty],[empty],[empty]
Backblaze,Yes,No,Yes,Yes,Yes,Yes[3],No[3] Company must be given passphrase (to private key) to restore any data.,No,No,Yes,No,Yes,Backblaze,[empty],[empty],Yes,Yes,Yes,United States  Europe,No,No limit,Yes,No,[empty],[empty]
Barracuda Backup Service,Yes,Yes,Yes,[empty],[empty],Yes[4],No,?,No fee per computer,No,Yes,[empty],Barracuda Backup Service,Yes[citation needed],Yes,[empty],No,Yes,United States  Canada  APAC  Europe,No,[empty],[empty],?,[empty],[empty]
Baidu Cloud,Yes,No,Yes,Yes,Yes,Yes[5],No,?,No,No,Yes,[empty],Baidu,[empty],Yes,Yes,Yes,[empty],China,2 TB,4 GB (Non-member) 10 GB (Member) 20 GB (Super Member). [6],[empty],?,[empty],[empty]
Box,Yes,Partial (no offline sync  access through DAV server)[7][8],Yes,Yes,Yes,Yes[9],No[9],?,Yes,No,[empty],[empty],Box,Yes[10],Yes[11],Yes,[empty],[empty],United States,10 GB,250 MB (Free) 5 GB (Paid),[empty],[empty],[empty],[empty]
Carbonite,Yes,No,Yes,Yes,Yes,Yes,Partial  optional for Windows only[12],?,Yes (Business only),Yes (Home only),No[13],Yes [14],Carbonite,[empty],Yes,Yes,Yes[15],[empty],United States,No,4 GB,Yes[16],Yes,[empty],[empty]
CloudBerry Backup,Yes,Yes,Yes,No,No,Yes[17],Yes[17][failed verification],Yes,[empty],[empty],[empty],Yes,CloudBerry Backup,Yes,Yes,Yes,[empty],Yes,Global,No,No limit,Yes,Yes,[empty],[empty]
CloudMe,Yes,Yes,Yes,Yes,Yes,No  but 3rd party apps available[citation needed],[empty],?,[empty],No,[empty],Yes,CloudMe,Yes[18],Yes,Yes,[empty],[empty],Sweden,3 GB,150 MB (Free Accounts) No limit (Premium Accounts),No Limit,No,[empty],[empty]
Comodo Backup,Yes,No,No,[empty],[empty],Yes[19],No,?,Yes,No,Yes (5),[empty],Comodo Backup,No,No,[empty],No,[empty],United States,No,[empty],[empty],[empty],[empty],[empty]
CrashPlan,Yes,Yes,Yes,Yes,Yes,Yes[20],Yes  except for web restore[21],Yes,No,Yes,No,Yes[22],CrashPlan,No,No,Yes[23],No,Yes,United States  Australia[24],No,No Limit,Yes[25],No,[empty],[empty]
Dropbox,Yes,Does not work on filesystems other than ext4,Yes,Yes,Yes,Yes,No[26],?,[empty],[empty],Yes,[empty],Dropbox,No,Yes,Yes,Yes,[empty],[empty],2 GB,No Limit[27],[empty],[empty],[empty],No
Dropmysite,Yes,Yes,Yes,[empty],[empty],Yes,No,?,Yes,No,No,Yes,Dropmysite,[empty],Yes,Yes,Yes,[empty],Global,2 GB,No limit,[empty],?,[empty],[empty]
