Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
ACID Pro,Magix,Proprietary,Yes,No,No,No,[empty],[empty],[empty]
Ardour,The Ardour Community,GNU GPL,Yes,Yes,Yes,No,[empty],NFS,[empty]
AudioDesk,Mark of the Unicorn,Proprietary,No,Yes,No,No,[empty],[empty],[empty]
Audition,Adobe Systems,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Bitwig Studio,Bitwig,Proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Cakewalk by BandLab[1],BandLab Technologies,Proprietary (Freeware),Yes,No,No,No,[empty],[empty],[empty]
Cubase,Steinberg,Proprietary,Yes,Yes,No,Yes,[empty],[empty],Requires hardware dongle
Digital Performer,Mark of the Unicorn,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
FL Studio,Image-Line,Proprietary,Yes,Yes,No,Yes,Yes,[empty],[empty]
GarageBand,Apple,Proprietary,No,Yes,No,Yes,[empty],[empty],[empty]
Harrison Mixbus,Harrison Consoles,Proprietary,Yes,Yes,Yes,No,[empty],NFS,[empty]
Kristal,Kreatives,Proprietary (Freeware),Yes,No,No,No,[empty],[empty],[empty]
Live,Ableton,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
LMMS,Tobias Doerffel,GNU GPL,Yes,Yes,Yes,No,[empty],NFS,[empty]
Logic Pro,Apple,Proprietary,Discontinued (last version: 5.5.1),Yes,No,No,[empty],[empty],[empty]
Mixcraft,Acoustica,Proprietary,Yes,No,No,No,[empty],[empty],[empty]
mp3DirectCut,Martin Pesch,Proprietary Freeware,Yes,No,No,No,[empty],[empty],[empty]
MuLab,MuTools,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
MultitrackStudio,Bremmers Audio Design,Proprietary,Yes,Yes,No,Yes,[empty],[empty],[empty]
MusE,MuseE,GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
n-Track,Fasoft,Proprietary,Yes,Yes,No,Yes,Yes,[empty],[empty]
Nuendo,Steinberg,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Podium,Zynewave,Proprietary / Freemium,Yes,No,No,No,[empty],[empty],[empty]
Pro Tools,Avid,Proprietary,Yes,Yes,No,No,[empty],MediaNet (proprietary),Yes
Qtractor,Qtractor,GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
REAPER,Cockos,Proprietary,Yes,Yes,Yes (pre-beta),Yes,[empty],[empty],[empty]
Reason,Propellerhead Software,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Record,Propellerhead Software,Proprietary,Yes,Yes,No,No,[empty],[empty],[empty]
Renoise,Renoise Team,Proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Rosegarden,Rosegarden,GNU GPL,No,No,Yes,No,[empty],NFS,[empty]
Samplitude/Sequoia,Magix,Proprietary,Yes,No,No,No,[empty],[empty],[empty]
Soundscape 32,Mackie,Proprietary,Yes,No,No,No,[empty],[empty],External 2U rack unit
Studio One,PreSonus,Proprietary,Yes,Yes,No,No,[empty],SoundCloud,[empty]
Tracktion,Tracktion Software Inc,Proprietary,Yes,Yes,Yes,No,[empty],[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,[empty],Network storage,External hardware
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
Acoustica,Acon Digital,Proprietary,Yes,Yes,No,No,No,No,Unknown,Unknown
Audacity,Audacity Team,GNU GPL,Yes,Yes,Yes,Yes,Yes,No,NFS,[empty]
Audiotool,Hobnox,Proprietary,Yes,Yes,Not officially supported,Yes,No,Yes,NFS,Optional MIDI support
BIAS Peak,BIAS,Proprietary,No,Yes,No,No,No,No,[empty],[empty]
Diamond Cut ART,Diamond Cut Productions,Proprietary,Yes,No,No,No,No,No,Unknown,Unknown
Ecasound,Kai Vehmanen,GNU GPL,No,Yes,No,Yes,Yes,No,Unknown,Unknown
Goldwave,Goldwave Inc.,Proprietary Shareware,Yes,No,No,No,No,No,[empty],[empty]
Jokosher,Jokosher,GNU GPL,Yes,No,No,Yes,No,No,NFS,[empty]
NU-Tech,Leaff Engineering,Proprietary,Yes,No,No,No,No,No,[empty],[empty]
RiffWorks,Sonoma Wire Works,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Sound Forge,Magix,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Soundbooth,Adobe Systems,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
SoX,Chris Bagwell  et al.,GNU GPL,Yes,Yes,No,Yes,Yes,No,[empty],[empty]
SpectraLayers,Sony,Proprietary,Yes,Yes,No,No,No,No,[empty],[empty]
Sweep,Conrad Parker,GNU GPL,No,No,No,Yes,Yes,No,[empty],[empty]
Total Recorder,HighCriteria,Proprietary Shareware,Yes,No,No,No,No,No,[empty],[empty]
Traverso DAW,Traverso,GNU GPL,Yes,Yes,No,Yes,No,No,NFS,[empty]
WaveLab,Steinberg,Proprietary,Yes,Yes,No,No,No,No,[empty],External gear  MIDI
WavePad,NCH Software,Proprietary / Freemium,Yes,Yes,Yes,No,No,No,[empty],[empty]
WaveSurfer,Centre for Speech Technology at KTH,BSD-like,Yes,Yes,No,Yes,Yes,No,[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
[empty],ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
ACID Pro,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Acoustica,No,No,Yes,Yes,No,No,No,No,Yes,No,No
Ardour,No,Yes,Yes,Unknown,Yes,Yes,No,No,Yes,No,No
Audacity,No,Yes,Yes,No,Yes,Yes,No,No,Only on OS X[2],No,No
AudioDesk,Returns only,No,Via converter,No,No,No,No,No,Yes,No,Yes
Audiotool,No,No,No,No,No,No,No,No,No,No,No
Audition,Partial (Pre CS5.5 - Yes  CS5.5 - No),Yes,Yes,Yes,No,No,No,No,Yes,Partial (Pre CS5.5 - Yes  CS5.5 - No),No
BIAS Peak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Bitwig Studio,No,Yes,Yes,Yes,No,No,No,No,No,No,No
Cakewalk by BandLab,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Cubase,Yes,No,Yes,Yes,No,No,No,No,No,Terminated (SX3.1),No
Diamond Cut ART,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Digital Performer,Yes,No,Yes,Yes,No,No,No,Yes (with Digi TDM or HD hardware via DAE),Yes,No,Yes
Ecasound,No,Yes,No,No,Yes,No,No,No,No,No,No
FL Studio,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
GarageBand,Yes,No,No,No,No,No,No,No,Yes,No,No
Goldwave,No,No,Beta,Unknown,No,No,No,No,No,Yes,No
[empty],ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
Harrison Mixbus,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No
Jokosher,No,No,No,Unknown,Yes,No,No,No,No,No,No
Kristal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Live,Yes,No,Yes,Yes (Live 10.1 and newer),No,No,No,No,Yes,No,No
LMMS,No,Yes,Yes,Unknown,Yes,No,No,No,No,No,No
Logic Express/Studio,Yes,No,No,No,No,No,No,No,Yes,No,No
Mixcraft,Yes,No,Yes,Yes,No,No,No,No,No,DirectX effects only,No
mp3DirectCut,No,No,No,No,No,No,No,No,No,No,No
MuLab,Yes,Unknown,Yes,No,No,No,No,No,No,No,No
MusE,No,Yes,Yes,Unknown,Yes,Yes,Yes,No,No,No,No
n-Track,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
Nuendo,Yes,No,Yes,Yes,No,No,No,No,No,No,No
NU-Tech,No,No,Yes,Unknown,No,No,No,No,No,No,No
Podium,Yes,No,Yes,No,No,No,No,No,No,No,No
Pro Tools,Yes,No,No,No,No,No,No,Before version 11,No,No,No
Qtractor,No,Yes,Yes,Unknown,Yes,Yes,Yes,No,Yes,No,No
[empty],ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
REAPER,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No
Reason,Yes,No,Yes,No,No,No,No,No,No,No,No
Record,Yes,No,No,No,No,No,No,No,No,No,No
Renoise,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No
RiffWorks,Yes,No,Yes,Unknown,No,No,No,No,Yes,No,No
Rosegarden,No,Yes,No,No,Yes,No,Yes,No,No,No,No
Samplitude,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No
Sound Forge,No,No,Yes,Unknown,No,No,No,No,Yes,Yes,No
Soundbooth,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Soundscape 32,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
SoX,No,No,No,No,Yes,No,No,No,No,No,No
SpectraLayers,No,No,Yes,Unknown,No,No,No,No,No,No,No
Studio One,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No
Sweep,No,No,No,No,Yes,No,No,No,No,No,No
Total Recorder,No,No,No,No,No,No,No,No,No,No,No
Tracktion,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No
Traverso,No,Yes,No,Unknown,No,Yes,No,No,No,No,No
WaveLab,No,No,Yes,Yes,No,No,No,No,No,No,No
WavePad,No,No,Yes,No,No,No,No,No,No,Yes,No
WaveSurfer,No,No,No,No,No,No,No,No,No,No,No
[empty],ReWire,JACK,VST,VST3,LADSPA,LV2,DSSI,RTAS,AU,DXi,MAS
[empty],OMF,AAF,MIDI,WAV,MP3,AAC,Ogg,REX2,AIFF,FLAC,Others
Acoustica,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,W64
Ardour,No[3],No[4],Unknown,Yes,Unknown,Unknown,Yes,Unknown,No,Yes,W64
Audacity,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,AMR
AudioDesk,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,SDII (native)
Audiotool,No,No,No,Import,Export,No,Export,No,No,No,[empty]
Audition,Yes,Unknown,No (unsupported since CS5),Yes,Yes,Yes,Yes,No,Yes,Yes,AU  IFF  RAW/PCM  SMP  VOC  VOX  WMA
BIAS Peak,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
