Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Akregator,No,Yes,Yes,Yes,Yes,No,No,No
Amarok,Yes,Yes,Yes,Yes,Yes,No,No,No
AOL Explorer,Yes,No,No,No,No,No,No,No
Avant,Yes,No,No,No,No,No,No,No
Awasu,Yes,No,No,No,No,No,No,No
BlogBridge,Yes,Yes,Yes,No,No,No,No,No
Canto,No,No,Yes,No,No,No,No,No
Claws Mail,Yes,Yes,Yes,Yes,Yes,No,No,Maemo
CommaFeed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Client side: every platform with a web browser Server side: every platform with Java
Cooliris,Yes,Yes,No,No,No,No,No,No
Feed Viewer,Yes,No,No,No,No,No,No,Windows Phone
FeedDemon,Yes,No,No,No,No,No,No,No
Feedreader,Yes,No,No,No,No,No,No,No
Flock,Yes,Yes,Yes,Yes,No,No,No,No
Gnus,Yes,Yes,Yes,Yes,Yes,Yes,No,DOS
IBM Lotus Notes,Yes,Yes,Yes,No,No,No,No,No
Inoreader,Yes,Yes,Yes,No,No,Yes,Yes,No
Internet Explorer,Included,No,No,No,No,No,No,No
iTunes,Yes,Included,No,No,No,No,No,No
Juice,Yes,Yes,No,No,No,No,No,No
K-Meleon,Yes,No,No,No,No,No,No,No
Kazehakase,No,No,Yes,Yes,No,No,No,No
Liferea,No,No,Yes,Yes,No,No,No,No
Mail (OS X),No,Included,No,No,No,No,No,No
Maxthon,Yes,No,No,No,No,No,No,No
MediaMonkey,Yes,No,No,No,No,No,No,No
Microsoft Office Outlook,Yes,Yes,No,No,No,No,No,Windows Mobile
Mozilla Firefox,Add-on,Add-on,Add-on,Add-on,No,No,No,No
Mozilla Thunderbird,Yes,Yes,Yes,Yes,No,No,No,No
NetNewsWire,No,Yes,No,No,No,No,No,No
Netscape Browser,Yes,No,No,No,No,No,No,No
Netscape Navigator 9,Yes,Yes,Yes,No,No,No,No,No
NewsAccess,No,Yes,No,No,No,No,No,No
NewsBlur,Web based,Web based,Web based,Web based,Web based,Yes,Yes,every platform with a web browser
NewsFire,No,Yes,No,No,No,No,No,No
OmniWeb,No,Yes,No,No,No,No,No,No
Opera Mail,Yes,Yes,Yes,Yes[37],Dropped,No,No,BeOS  QNX  OS/2
Pegasus Mail,Yes,No,No,No,No,No,No,No
Protopage,Web based,Web based,Web based,Web based,Web based,Dedicated Web App,Dedicated Web App,every platform with a Web browser
Pulse,Web based,Web based,Web based,Web based,Web based,Dedicated App,Dedicated App,every platform with a Web browser
QuiteRSS,Yes,Yes,Yes,No,No,No,No,Source code available
Rhythmbox,No,No,Yes,Yes,Yes,No,No,No
RSS Bandit,Yes,No,No,No,No,No,No,No
RSSOwl,Yes,Yes,Yes,Yes,Yes,Yes,No,every platform with Java and SWT
Safari,Yes,Included,No,No,No,No,No,No
Sage,Yes,Yes,Yes,No,No,No,No,No
SeaMonkey Mail & Newsgroups,Yes,Yes,Yes,Yes,No,No,No,No
Shiira,No,Yes,No,No,No,No,No,No
Sleipnir,Yes,No,No,No,No,No,No,No
Songbird,Yes,Yes,Yes,No,Yes,No,No,No
The Bat!,Yes,No,No,No,No,No,No,No
The Old Reader,Web based,Web based,Yes,Web based,Web based,Multiple apps,Multiple apps,Windows Phone  Symbian  WebOS  Firefox OS
Tiny Tiny RSS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,every platform with a web browser
Winamp,Yes,No,Obsolete,No,No,No,No,No
Windows Live Mail,Yes,No,No,No,No,No,No,No
Zimbra,Yes,Yes,Yes,Yes,No,No,No,No
Zune,Yes,No,No,No,No,No,No,Windows Mobile
Client,Windows,Mac OS X,Linux,BSD,Solaris,Android,iOS,Other
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other format,Delta updates,IPv6,Auto updates
Sage,?,Yes,Yes,Yes,No,No,Yes,?,?,Yes,Yes
SeaMonkey Mail & Newsgroups,?,Yes,Yes,Yes,?,?,Yes,Newsgroup,?,Yes,Yes
Songbird,?,Yes,Yes,Yes,Yes,Yes,Yes,?,No,Yes,Yes
Shiira,?,?,?,?,?,?,Yes,?,?,Yes,?
Sleipnir,?,?,?,?,?,?,Yes,?,No,Yes,?
The Bat!,?,Yes,Yes,Yes,?,?,Yes,?,?,Yes,?
The Old Reader,Yes,?,?,Yes,Yes,?,Yes,PubSubHubbub,No,Yes,Yes
Tiny Tiny RSS,?,?,?,Yes,?,?,Yes,?,No,?,Yes
Winamp,?,?,?,?,Yes,?,?,?,?,Yes,Notification only
Windows Live Mail,?,Yes,Yes,Yes,?,?,Yes,?,Yes,Yes,Yes
Zimbra,?,Yes,Yes,Yes,?,?,Yes,?,?,?,?
Zune,?,?,?,?,Yes,?,?,?,?,?,?
Client,feed URI scheme,RSS 0.91,RSS 1.0,RSS 2.0,RSS enclosure,MRSS,Atom,other standard,Delta updates,IPv6,Auto updates
