Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
Conduit,Python,Linux  FreeBSD,GPL,0.3.17 (2010-01-21),No,[empty],[empty],[empty],[empty],Yes,Synchronizes files  website  network apps
DirSync Pro,Java,Java SE,GPLv3,1.53 (2018-03-07),Yes,Yes,No,[empty],Yes (creates backup files),Yes (native + via OS),sym-links  filter  metadata  contents  auto-sync
FreeFileSync,C++,Windows  OS X  Linux,GPL,10.10 (2019-03-10),Yes (Donation Edition)[2],Yes[3],Yes[3],Yes[3],Yes (versioning + recycler)[3],Yes,Older version had OpenCandy Adware/malware  but now funded by donations.[4] [5]
iFolder,C#  Mono,Windows  OS X  Linux  Solaris,GPL,3.8.0.3 (2010-07-19),No,Yes (centralized database),Yes (files  not folders),[empty],[empty],[empty],[empty]
InterPlanetaryFileSystem,Go,Windows  OS X  Linux,GPL,0.4.15 (2018-05-12),[empty],Yes,[empty],[empty],No (Planned)[6],[empty],[empty]
luckyBackup,C++,Windows  OS X  Linux  FreeBSD,GPLv3,0.4.9 (2017-10-17),Yes,[empty],[empty],[empty],[empty],Yes,Uses rsync backend
Nextcloud,PHP  C++  JavaScript[7],Server: Linux Clients: Windows  OS X  Linux  Android  iOS,AGPLv3,17.0.1 (2019-11-07),Yes,Yes,Yes,No[8],Yes,Yes,Fork of ownCloud and actively maintained Windows Phone App
OneSync,C#,Windows,GPL,4.0 (2012-02-19),No,Yes,Yes,[empty],[empty],No,[empty]
ownCloud community edition,PHP  C++  JavaScript[9],Server: Linux  FreeBSD Clients: Windows  OS X  Linux  FreeBSD  Android  iOS,AGPLv3 (Server Edition) / proprietary (Enterprise Edition),10.3.1 (12 November 2019; 2 days ago (2019-11-12)) [±][10],Yes,Yes,Yes,Yes[11],Yes,Yes,iOS  Android  Blackberry  Win  Mac  Linux Client; external storage support; encryption app; app framework
Pydio Open source home,Server: PHP  Python  C++ Clients: JS  C#  Swift  Java,Windows  OS X  Linux  Android  iOS,AGPLv3,8.0.2 (2017-12-13),Yes,Yes,Yes,[empty],Yes (Git[12]),Yes,[empty]
rsync,C in a Unix-Linux shell,Windows  OS X [13] Linux [14][15] BSD,GPL v3,3.1.3 (January 28  2018; 21 months ago (2018-01-28)) [±][16],Yes,No,No,[empty],No,Yes (via OS),client & server operation. Multiple comparison criteria (date  check-sum).
Seafile community edition,C99  Python[17],Server: Linux  Raspbian  Windows Clients: Linux  OS X  Windows  Android  iOS.[18],AGPLv3 (Server) + Apache License 2.0 (Client),7.0.2 (7 August 2019; 3 months ago (2019-08-07)[19]) [±],No,Yes,Yes,Yes,Yes,Yes (via Seafile Client),Android and iOS mobile clients
SparkleShare,C#,Windows  OS X  Linux  Android  iOS,GPL v3 and LGPL,2.0.1 (2017-12-22),Yes,Yes,No,[empty],Yes (Git[20]),[empty],[empty]
SymmetricDS,Java,Java SE,GPL,3.9.4 (2018-02-16),Yes,Yes,Yes,[empty],No,Yes,plug-in APIs for customization
Synchronizer (krusader),[empty],Windows  OS X  Linux,GPL v2,2.6.0 (2017-04-12),No,Yes,No,[empty],No,No,Synchronizer no longer in active development
Syncthing,Go,Windows  OS X  Linux  Android  BSD  Solaris,MPL v2,1.0.0 (2019-01-01),Yes,Yes,Yes,Yes,Yes,Yes,Distributed peer-to-peer sync
Synkron,C++,Windows  OS X  Linux,GPL v2,1.6.2 (2011-01-25){[21]},Yes,Yes,No,Yes,Yes,Yes,no longer in active development
Name,Programming language,Platform,License,Stable version,Portable,Detect conflict,Renames or moves,Propagate deletes,Revision control,Scheduling or service,Other information
Name,Operating system,Vendor,Online storage,Remote desktop,Prior file versions  revision control,Comments,Portable,Detect rename,Detect move,Scheduling,Full duplex transfer
Microsoft ActiveSync,Windows,Microsoft,No,No,?,Syncs mobile devices,[empty],[empty],[empty],[empty],[empty]
Resilio Sync,Windows  OS X  Linux  FreeBSD  Android  iOS,Resilio  Inc.,No,No,Yes (previous versions moved to archive folder),Distributed peer-to-peer sync,No,Yes,Yes,Pro only[22],Yes
Briefcase (part of Windows) (removed in Windows 10 build 14942[23]),Windows,Microsoft,No,No,?,[empty],[empty],[empty],[empty],[empty],[empty]
Cobian Backup,Windows,CobianSoft,No,No,Yes  trash folder,Backup software with folder synchronization feature; remote management; Shadow Copy,No,No,No,Yes,[empty]
Windows Mobile Device Center,Windows,Microsoft,No,No,?,Syncs mobile devices; successor to Microsoft ActiveSync,[empty],[empty],[empty],[empty],[empty]
Microsoft Sync Framework,Windows,Microsoft,?,No,?,Syncs files  data  services; a framework  not a tool,[empty],Yes,Yes,-,[empty]
Microsoft SyncToy,Windows,Microsoft,No,No,No  recycle bin only,Sync local folders,No,Yes,Yes,via OS,No
Windows Live Mesh (discontinued 13 February 2013),Windows (Vista and greater)  Windows Mobile  OSX,Microsoft,Yes,Yes,No  recycle bin only,Sync folders  online storage,No,Yes,?,No  syncs whenever it is online,Yes
OmniGroup OmniPresence,OSX  OmniGroup software for iOS  open source framework available,OmniGroup,No,No,No  via local Time Machine backup only,Sync local folders via OmniSync or WebDAV server but not to the server itself,No,?,?,No  syncs whenever it's online and not paused,Yes
Windows Live Sync (discontinued 31 March 2011),Windows  OSX,Microsoft,No  browsing only,No,No  recycle bin only,Sync folders  browse devices from website  remote access; was Microsoft FolderShare  20.000 file limit,No,Yes,Yes,No  syncs whenever it's online,?
