Kernel name,Programming language,Used in,Creator,Executable format (also see section below),Type,Integrated firewall,SMP support,Multiple architecture support (also see section below).,Multitasking,Virtualization,Security,Profiling/Debugging,Soft real-time support,Hard real-time support,Can keep RTC in UT[2]
Agnix [1],[empty],?,?,?,?,?,?,?,Yes,?,?,?,?,?,?
Amiga Exec,[empty],AmigaOS,Commodore International,HUNK,Exokernel (atypical)[3],No,No,No,Yes,No,No,Yes,No,No,No
Amiga Exec SG (2nd Generation),[empty],AmigaOS 4,Hyperion Entertainment,ELF/HUNK,Exokernel (atypical),No,No,No,Yes,No,No,Yes,No,No,?
DragonFly BSD kernel,[empty],DragonFly BSD,Matt Dillon,ELF,hybrid,Ipfirewall  PF,Yes,No,Yes,chroot  jail  vkernel,Unix permissions,DDB  KGDB,?,?,?
FreeBSD kernel,[empty],FreeBSD  Debian GNU/kFreeBSD  Gentoo/FreeBSD  Orbis OS,The FreeBSD Project,ELF  others - platform dependent,monolithic,IPFilter  Ipfirewall  PF,Yes,Yes,Yes,chroot  jail  bhyve,Unix permissions  POSIX.1e and NFSv4 ACLs [4] Capsicum  TrustedBSD MAC  OpenBSM,KDB  DDB  KGDB  DTrace  hwpmc,Yes,?,Yes
GNU Hurd [2],[empty],GNU/Hurd (Arch Hurd  Debian GNU/Hurd),GNU Project/Free Software Foundation,ELF,multiserver microkernel,No,partial,No,Yes,chroot  Xen,Unix permissions  POSIX ACL  POSIX Capabilities,?,?,?,?
GNU Mach [3],[empty],part of GNU Hurd  used in GNU/Hurd,GNU Project/Free Software Foundation,ELF,microkernel,No,partial,No,Yes,chroot  Xen,Unix permissions  POSIX ACL  POSIX Capabilities,?,?,?,?
Inferno kernel,[empty],Inferno,Bell Labs / Vita Nuova Holdings,?,virtual machine,?,Yes,Yes,Yes,chroot  Xen,?,?,?,?,?
L4,[empty],L4,Jochen Liedtke,No,microkernel,No,Yes,Yes,Yes,Yes,Afterburner/L4 [4]  Marzipan [5]  capabilities in L4/Fiasco[5],L4/Fiasco[5],L4/Fiasco[5],?,?
Linux kernel [6],C,Linux  Android  webOS  Firefox OS  Chrome OS  Syllable Server  Mastodon Linux  OpenBSD/Linux  Plan 9/Linux  Sailfish OS  Tizen  others,Linus Torvalds,ELF  others,monolithic,*ipfwadm (2.0 –) ipchains (2.2 –) Netfilter (2.4 – 3.x) nftables (3.13 –),Yes,Yes,Yes,cgroups  chroot  Lguest  Xen  KVM  kvm-lite  LXC,Unix permissions  POSIX ACL  POSIX Capabilities  keyctl  LSM(SELinux  SMACK  TOMOYO Linux  AppArmor),OProfile  kprobe  SystemTap  JProbe  ftrace  KDB  KGDB  kernel marker  perf tools,CONFIG_PREEMPT,(CONFIG_PREEMPT_RT Patch),Yes
Compute Node Linux,[empty],Compute Node Linux,Cray Inc.,?,?,?,?,?,?,?,?,?,?,?,?
Mach [7],[empty],NeXTSTEP and OPENSTEP for Mach and Tru64 UNIX,Carnegie Mellon University,Mach-O,microkernel  hybrid kernel,?,Yes,?,Yes,?,?,?,Yes,?,?
MINIX 3 kernel [8],[empty],MINIX 3,Andrew S. Tanenbaum,ELF [6] a.out[7][8],microkernel,No,No,Yes,Yes,No,Unix permissions,Call profiling  statistical profiling  Minix Debugger (mdb),No,No,?
MkLinux [9],[empty],?,OSF Research Institute and Apple Computer,?,microkernel,?,?,?,?,?,?,?,?,?,?
NetBSD kernel,[empty],NetBSD  GNU/kNetBSD (Debian GNU/NetBSD) ,The NetBSD Project,ELF  others - platform dependent,monolithic  anykernel using rump kernel architecture,IPFilter  PF  NPF,Yes,Yes,Yes,Xen  chroot,kauth  Unix permissions,DDB  KGDB  tprof,POSIX real-time scheduling extensions,Kernel preemption [9],?
NetWare kernel,[empty],NetWare,Novell,NLM,hybrid,Yes,Yes,No,Yes,?,?,?,?,?,?
OpenBSD kernel,[empty],OpenBSD,OpenBSD developers,ELF  others - platform dependent,monolithic,PF,Yes,Yes,Yes,?,Unix permissions,?,?,?,?
OS/2 kernel,[empty],OS/2 version 2 and above,IBM,LX,hybrid,No,Yes,No PowerPC version developed but never officially released.,Yes,No,Yes,Yes,Yes,No,?
Plan 9 kernel,[empty],Plan 9 from Bell Labs,Bell Labs,?,hybrid,ipmux,Yes,Yes,Yes,?,?,?,?,?,?
ReactOS kernel,[empty],ReactOS,ReactOS Foundation,PE  others?,hybrid,?,?,?,Yes,?,?,?,?,?,?
