File manager,Filesystem support,Attribute columns,File previews,Metadata indexing,Unicode support,Visual Themes
Altap Salamander,yes,yes,yes,dunno,partial,no
Commander One,yes,yes,yes,dunno,yes,yes
CRAX Commander,yes,yes,yes,dunno,yes,partial
Directory Opus,yes,yes,yes,partial,yes,yes
Dired,yes,yes,yes,no,yes,yes
Documents by Readdle,[empty],[empty],[empty],[empty],[empty],[empty]
Dolphin,yes,no,yes,yes,yes,dunno
Double Commander,yes,yes,yes,no,yes[101],partial[102]
emelFM2,dunno,dunno,dunno,dunno,[empty],dunno
Far Manager,yes,yes,yes,partial,yes[103],no
Files (Apple),[empty],[empty],Yes,[empty],Yes,[empty]
Files by Google,[empty],[empty],[empty],[empty],[empty],[empty]
Finder,yes,no,Yes,yes,Yes[104],partial[105]
ForkLift,yes,yes,yes,no,yes,yes
Konqueror,yes,no,yes,yes,yes,yes
Krusader,yes,no,yes,partial,[empty],dunno
Midnight Commander,yes,no,no,no,yes,no
GNOME Files (Nautilus),yes,dunno,yes,dunno,yes,dunno
Nemo,?,?,?,?,?,?
NomadNET,yes,yes,yes,dunno,yes,yes
Path Finder,dunno,dunno,dunno,dunno,[empty],dunno
PCManFM,yes,yes,yes,no,yes,no
ROXFiler,[empty],no,yes,no,[empty],dunno
Total Commander,yes,yes,yes,yes In search tool,yes[101],partial[102]
Windows Explorer,yes,yes,yes,yes[106],yes,Partial[105]
Xandros File Manager,dunno,dunno,dunno,dunno,dunno,dunno
Xfe,no,partial,no,no,partial,partial[107]
Xfile,dunno,dunno,dunno,dunno,dunno,dunno
Xfm,dunno,dunno,dunno,dunno,dunno,dunno
xplorer²,yes,yes,yes,dunno,yes,yes
XYplorer,yes,yes,yes,dunno,yes,yes
ZTreeWin,yes,yes,yes,dunno,yes,no
File manager,Filesystem support,Attribute columns,File previews,Metadata indexing,Unicode support,Visual Themes
