Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,Android,Network storage,External hardware
ACID Pro,Magix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ardour,The Ardour Community,[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
AudioDesk,Mark of the Unicorn,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Audition,Adobe Systems,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Bitwig Studio,Bitwig,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cakewalk by BandLab<ref>Previously Sonar by Cakewalk  relaunched by Bandlab Technologies.</ref>,BandLab Technologies,(Freeware),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Cubase,Steinberg,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Requires hardware dongle
Digital Performer,Mark of the Unicorn,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
FL Studio,Image-Line,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
GarageBand,Apple,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Harrison Mixbus,Harrison Consoles,[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
Kristal,Kreatives,(Freeware),[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Live,Ableton,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
LMMS,Tobias Doerffel,[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
Logic Pro,Apple,[empty],(last version: 5.5.1),[empty],[empty],[empty],[empty],[empty],[empty]
Mixcraft,Acoustica,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
mp3DirectCut,Martin Pesch,Freeware,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MuLab,MuTools,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MultitrackStudio,Bremmers Audio Design,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
MusE,MuseE,[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
n-Track,Fasoft,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Nuendo,Steinberg,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Podium,Zynewave,/ Freemium,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Pro Tools,Avid,[empty],[empty],[empty],[empty],[empty],[empty],MediaNet (proprietary),[empty]
Qtractor,Qtractor,[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
REAPER,Cockos,[empty],[empty],[empty],(pre-beta),[empty],[empty],[empty],[empty]
Reason,Propellerhead Software,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Record,Propellerhead Software,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Renoise,Renoise Team,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Rosegarden,Rosegarden,[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
Samplitude/Sequoia,Magix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Soundscape 32,Mackie,[empty],[empty],[empty],[empty],[empty],[empty],[empty],External 2U rack unit
Studio One,PreSonus,[empty],[empty],[empty],[empty],[empty],[empty],SoundCloud,[empty]
Tracktion,Tracktion Software Inc,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,Linux,iOS,[empty],Network storage,External hardware
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
Acoustica,Acon Digital,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Audacity,Audacity Team,[empty],[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
Audiotool,Hobnox,[empty],[empty],[empty],[empty],[empty],[empty],[empty],NFS,Optional MIDI support
BIAS Peak,BIAS,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Diamond Cut ART,Diamond Cut Productions,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Ecasound,Kai Vehmanen,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Goldwave,Goldwave Inc.,Shareware,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Jokosher,Jokosher,[empty],[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
NU-Tech,Leaff Engineering,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RiffWorks,Sonoma Wire Works,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Sound Forge,Magix,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Soundbooth,Adobe Systems,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SoX,Chris Bagwell  et al.,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
SpectraLayers,Sony,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Sweep,Conrad Parker,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Total Recorder,HighCriteria,Shareware,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Traverso DAW,Traverso,[empty],[empty],[empty],[empty],[empty],[empty],[empty],NFS,[empty]
WaveLab,Steinberg,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],External gear  MIDI
WavePad,NCH Software,/ Freemium,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
WaveSurfer,Centre for Speech Technology at KTH,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Digital audio editor,Creator / developer,Software license,Microsoft Windows,MacOS,iOS,Linux,BSD,Online,Network storage,External hardware
