Esperanto,IPA,Novial
A  a,[empty],A  a
B  b,[empty],B  b
C  c,[empty],Ts  ts; S  s
Äˆ  Ä‰,[empty],Ch  ch; Sh  sh
D  d,[empty],D  d
E  e,or,E  e
F  f,[empty],F  f
G  g,[empty],G  g
Äœ  Ä?,[empty],J  j
H  h,[empty],H  h
Ä¤  Ä¥,[empty],K  k
I  i,[empty],I  i
J  j,[empty],Y  y
Ä´  Äµ,[empty],J  j
K  k,[empty],K  k
L  l,[empty],L  l
M  m,[empty],M  m
N  n,[empty],N  n
O  o,or,O  o
P  p,[empty],P  p
Kv kv,[empty],Qu  qu
R  r,[empty],R  r
S  s,[empty],S  s; Z  z
Åœ  Å?,[empty],Sh  sh; Ch  ch
T  t,[empty],T  t
U  u,[empty],U  u
Å¬  Å,[empty],U  u (after a vowel)
V  v,[empty],V  v; W  w
Ks  ks; kz,[empty],X  x
Z  z,[empty],Z  z; S  s
+'Active Voice',[empty],English,Esperanto,Novial
Infinitive,(to) love,am-i,ama,[added]
Simple present,love(s),am-as,ama,[added]
Future,will (shall) love,am-os,sal ama,[added]
Simple past,loved,am-is,did ama (ama-d),[added]
Present perfect,have (has) loved,est-as am-int-a(j),ha ama,[added]
Pluperfect,had loved,est-is am-int-a(j),ha-d ama,[added]
Future perfect,will (shall) have loved,est-os am-int-a(j),sal ha ama,[added]
Future in the past,was going to (would  should) love,est-is am-ont-a(j),sal-ed ama,[added]
Conditional,would (should) love,am-us,vud ama,[added]
Conditional perfect,would (should) have loved,est-us am-int-a(j),vud ha ama,[added]
First imperative,let us love!,ni am-u!,let nus ama!,[added]
Second imperative,love!,am-u!,ama!,[added]
Third imperative,let him love!,li am-u!,let lo ama!,[added]
Present continuous,is (am  are) loving,est-as am-ant-a(j),es ama-nt,[added]
Future continuous,shall (will) be loving,est-os am-ant-a(j),sal es ama-nt,[added]
Past continuous,was (were) loving,est-is am-ant-a(j),did es (es-ed) ama-nt,[added]
+'Passive Voice of Becoming',[empty],English,Esperanto,Novial
Infinitive,(to) get absorbed,est-i absorb-at-a(j) (absorb-iÄ?-i),bli absorba,[added]
Simple present,get(s) absorbed,est-as absorb-at-a(j) <br />(absorb-iÄ?-as),bli absorba,[added]
Future,will (shall) get absorbed,est-os absorb-at-a(j) <br />(absorb-iÄ?-os),sal bli absorba,[added]
Simple past,got absorbed,est-is absorb-at-a(j) <br />(absorb-iÄ?-is),bli-d absorba,[added]
Past perfect,have (has) got absorbed,est-as absorb-it-a(j) <br />(est-as absorb-iÄ?-ant-a(j)),ha bli absorba,[added]
Pluperfect,had got absorbed,est-is absorb-it-a(j) <br />(est-is absorb-iÄ?-ant-a(j)),ha-d bli absorba,[added]
Future perfect,will (shall) have got absorbed,est-os absorb-it-a(j) <br />(est-os absorb-iÄ?-ant-a(j)),sal ha bli absorba,[added]
Future in the past,was going to (would  should) get absorbed,est-is absorb-ot-a(j) <br />(est-is absorb-iÄ?-ont-a(j)),sal-ed bli absorba,[added]
Conditional,would (should) get absorbed,est-us absorb-at-a(j) <br />(absorb-iÄ?-us),vud bli absorba,[added]
Conditional perfect,would (should) have got absorbed,est-us absorb-it-a(j) <br />(est-us absorb-iÄ?-ant-a(j)),vud ha bli absorba,[added]
First imperative,let us get absorbed!,ni est-u absorb-ataj! <br />(ni absorb-iÄ?-u!),let nus bli absorba!,[added]
Second imperative,get absorbed!,est-u absorb-at-a(j)! <br />(absorb-iÄ?-u!),bli absorba!,[added]
Third imperative,let him get absorbed!,li est-u absorb-at-a! <br />(li absorb-iÄ?-u),let lo bli absorba!,[added]
Present continuous,is (am  are) getting absorbed,est-as absorb-at-a(j) <br />(est-as absorb-iÄ?-ant-a(j)),es bli-nt absorba,[added]
Future continuous,shall (will) be getting absorbed,est-os absorb-at-a(j) <br />(est-os absorb-iÄ?-ant-a(j)),sal es bli-nt absorba,[added]
Past continuous,was (were) getting absorbed,est-is absorb-at-a(j) <br />(est-is absorb-iÄ?-ant-a(j)),did es (es-ed) bli-nt absorba,[added]
