Name,Creator,Host CPU,Guest CPU,Host OS,Guest OS,License
bhyve,FreeBSD,x86-64,x86  x86-64,FreeBSD  Illumos,FreeBSD  FreeNAS  pfSense  OpenBSD  Linux  Windows  Illumos<ref name="bhyve1" />,[empty]
Bochs,Kevin J. Lawton,Any,x86  x86-64,Windows  Linux  FreeBSD  Unix/X11    macOS  BeOS  MorphOS  OS/2<ref name="bochs1" /><ref name="bochs2" />,Windows  Linux  DOS  BSD  OS/2  Haiku,[empty]
Containers  or Zones,Sun Microsystems,x86  x86-64  SPARC (portable: not tied to hardware),Same as host,Solaris 10  Solaris 11  OpenSolaris 2009.06  illumos distributions,Solaris (8  9  10  11)  illumos  Linux (BrandZ),[empty]
Cooperative Linux (coLinux),Dan Aloni  other developers,x86,Same as host,Windows 2000  XP  2003  Vista,Linux,[empty]
CHARON,Stromasys,x86  x86-64,PDP-11  VAX  Alpha  HP3000  Sparc,Windows  Linux,VMS  OpenVMS  Tru64 UNIX  MPE/iX  RSX-11  RT11  RSTS  Solaris  SunOS,[empty]
Denali,University of Washington,x86,x86,Denali,Ilwaco  NetBSD,[empty]
DOSBox,Peter Veenstra  Sjoerd with community,Any,x86,Linux  Windows  classic Mac OS  macOS  BeOS  FreeBSD  NetBSD  OpenBSD  Solaris  QNX  IRIX  MorphOS  AmigaOS  Maemo  Symbian,Internally emulated DOS shell; classic PC booter games  unofficially Windows 1.0 to 98,[empty]
DOSEMU,Community project,x86  x86-64,x86,Linux,DOS,[empty]
FreeBSD Jail,Poul-Henning Kamp / FreeBSD,Any running FreeBSD or DragonFly BSD,Same as host,FreeBSD  DragonFly BSD,same as host (shared *BSD kernel)  plus Linux ABI through compat layer,[empty]
GNOME Boxes,GNOME,[empty],[empty],Unix-like,Unix-like,[empty]
GXemul,Anders Gavare,Any,ARM  MIPS  Motorola 88000  PowerPC  SuperH,Unix-like,NetBSD  OpenBSD  Linux  Ultrix  Sprite,[empty]
Hercules,Roger Bowler,Any,z/Architecture,Windows  FreeBSD  NetBSD  Linux  macOS,Linux on IBM Z  z/OS  z/VM  z/VSE  OS/360  DOS/360  DOS/VS  MVS  VM/370  TSS/370,[empty]
Hyper-V (2008),Microsoft,x86-64 with Intel VT-x or AMD-V,x86-64  x86 (up to 8 physical CPUs),Windows Server 2008 (R2) w/Hyper-V role  Microsoft Hyper-V Server,Supported drivers for Windows 2000  Windows 2003  Windows 2008  Windows XP  Windows Vista  FreeBSD  Linux (SUSE 10 released  more announced),[empty]
Hyper-V (2012),Microsoft,x86-64 with Intel VT-x or AMD-V,x86-64  (up to 64 physical CPUs),Windows 8  8.1  10  and Windows Server 2012 (R2) w/Hyper-V role  Microsoft Hyper-V Server,Supported drivers for Windows NT  FreeBSD  Linux (SUSE 10  RHEL 6  CentOS 6),. Component of various Windows editions.
iCore Virtual Accounts,iCore Software,x86,x86,Windows XP,Windows XP,[empty]
INTEGRITY,Green Hills Software,ARM  x86  PowerPC,Same as host,Linux  Windows,INTEGRITY native  Linux  Android  AUTOSAR  Windows (on some platforms),[empty]
Integrity Virtual Machines,Hewlett-Packard,IA-64,IA-64,HP-UX,HP-UX  Windows  Linux (OpenVMS announced),[empty]
