Aspect,Esperanto,Ido,Example
Alphabet,uses diacritics (Ä‰  Ä?  Ä¥  Äµ  Å?  Å) and digraphs,uses digraphs (ch  sh  qu),Translation of "chamber"  "shoe"  and "square": ambro / uo / adrato (Esp.) ambro / uo / adrato (Ido)
Gender,masculine by default; feminine optional,gender-neutral by default; masculine and feminine optional,Gender of "elephant": elefanto (default) / elefantino (fem.) (Esp.) elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)
Antonyms,formed by mal- prefix,come from natural vocabulary,Translation of "warm" and "cold": varma / varma (Esp.) varma / kolda (Ido)
Infinitives,-i suffix,-ar suffix,Translation of "to go": ir (Esp.) ir (Ido)
Imperative,-u suffix,-ez suffix,Translation of "go!": ir! (Esp.) ir! (Ido)
Plural noun,-oj suffix (agglutinative),-i suffix (synthetic),Plural of domo ("house"): dom (Esp.) dom (Ido)
Adjectives,Agree with nouns,Not declined,Translation of "big dogs": granda hundoj (Esp.) granda hundi (Ido)
Accusative declination,Mandatory,Only when object precedes subject,Translation of "I drink milk" / "I milk drink": "mi trinkas lakto" / "mi lakton trinkas" (Esp.) "me drinkas lakto" / "me lakton drinkas" (Ido)
Proper nouns,Sometimes rendered,Never rendered,Translation of "Europe": EÅropo (Esp.) Europa (Ido)
No. of speakers,c. 100.000â€“2.000.000,c. 100â€“1.000,[empty]
+Alphabets,Esperanto,a,b,c,Ä‰,d,e,f,g,Ä?,h,Ä¥,i,j,Äµ,k,l,m,n,o,p,kv,r,s,Å?,t,u,Å,v,-,-,z
Esperanto1894,a,b,z,-,d,e,f,g,-,h,-,i,j,-,k,l,m,n,o,p,kv,r,s,c,t,u,-,v,-,-,-,[added]
Ido,a,b,c,ch,d,e,f,g,j,h,-,i,y,j,k,l,m,n,o,p,qu,r,s,sh,t,u,-,v,w,x,z,[added]
IPA phonemes,a,b,[empty],[empty],d,e,f,g,[empty],h,[empty],i,j,[empty],k,l,m,n,o,p,/kw/ /kv/,r,s,Êƒ,t,u,<br />(in diphthongs),Ê‹,[empty],/ks/ /É¡z/,[empty],[added]
